web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551370412-21744","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Easy easy !","January 9, 2019","Super easy to figure out... so much it can do I’m not sure In Know what it can do! Sounds amazing ! Dots are great to! If I aren’t freak out the government is listen cuz they are on your phone to ! Just get it ! It’s fun to turn lights on just by asking !","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_110?ie=UTF8&pageNumber=110&reviewerType=all_reviews"
"1551370386-21649","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Matthew Maniace","Sounds very good a mid to low volumes","October 30, 2018","Good sound but when pairing with a 2.1 system it’s a bit quirky.  Remote will not work as per amazon","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_98?ie=UTF8&pageNumber=98&reviewerType=all_reviews"
"1551370437-21838","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Angela Barrett","The ring is always on","February 3, 2019","I love my echo plus it has better sound quality then the first generation. I just have one concern why does always seems that its  listening. The first generation didn’t do that.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&pageNumber=122&reviewerType=all_reviews"
"1551370390-21660","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","sam","I like.","January 4, 2019","Sounds so much better than the first gen.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_100?ie=UTF8&pageNumber=100&reviewerType=all_reviews"
"1551370433-21822","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jim P","Great sound!","January 13, 2019","Love it","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_120?ie=UTF8&pageNumber=120&reviewerType=all_reviews"
"1551370314-21372","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Bruce","Works Prety Well - Fun Toy","November 9, 2018","Works well. Easy to install. Home controls are fun to play with. It will only get better.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&pageNumber=64&reviewerType=all_reviews"
"1551370397-21683","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Jstylist","Love","February 9, 2019","My boyfriend bought me this for my birthday. It’s very user friendly and I plan to use it to its upmost capacities!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_103?ie=UTF8&pageNumber=103&reviewerType=all_reviews"
"1551370433-21820","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Tammy","Love it","December 16, 2018","Sound is amazing","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_120?ie=UTF8&pageNumber=120&reviewerType=all_reviews"
"1551370662-22680","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","WILLIE MEIERS","Awesome Echo","November 16, 2018","Awesome Echo! Great sound","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_227?ie=UTF8&pageNumber=227&reviewerType=all_reviews"
"1551370475-21985","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Chris O","Love it!","February 26, 2019","Great design, sound quality and accessibility. Very impressed. Alexa will always be a part of our family!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_140?ie=UTF8&pageNumber=140&reviewerType=all_reviews"
"1551370252-21144","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Earl S.","2nd Generation - Well worth the money!","February 20, 2019","We use our Echo Plus to fill our room with Amazon Music Unlimited on a daily basis. Sorry BOSE, but I had to replace your unsmart speaker with this all in one product that does so much more, and fills the room with bass and treble that was very surprising to me. Great Sound, Quality and Functionality. Amazon hit it out of the park. Looking forward to amazing products from Amazon.

If you are questioning whether to spend extra for this product... absolutely if the quality of sound is your thing. Great product, delivery, and quality.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews"
"1551370546-22249","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Darrell Winkle","Big sound in a small package.","January 8, 2019","This is a great improvement to the original echo plus. The sound is crisp and clear.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_173?ie=UTF8&pageNumber=173&reviewerType=all_reviews"
"1551370499-22066","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Additional speaker connection","January 24, 2019","When Alexa is connected with an additional speakers, the music only plays out of one speaker.","3.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_151?ie=UTF8&pageNumber=151&reviewerType=all_reviews"
"1551370346-21491","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Mike","Great that we can pair them together.","October 17, 2018","After some troubleshooting, it turns out that one of my Echo Plus devices had a connection issue and was cutting out. I was contacted immediately about the issue and a replacement will arrive two days from now. Looking forward to enjoying the setup when the replacement arrives. I can tell already that this is a big upgrade from the previous version.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&pageNumber=79&reviewerType=all_reviews"
"1551370318-21391","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","BarnBoy","Sounds like a million dollars!","January 4, 2019","Great product - I am enjoying music so much more now. Plus my daily flash briefing. And setting timers. You know, all that Alexa stuff.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews"
"1551370235-21075","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","KCall74","My girl Echo <3","December 16, 2018","Amazing sound compared to the first generation of Echos.  I love her!!!  love the multi room music.  Tip: Think of a better group name than Everywhere.  I thought that was a great group name until my husband tried to play Tim McGraw's song Everywhere.  Finally had to say Echo, Play the song Everywhere by Time McGraw on the everywhere group.  But if your husband doesn't like that song, Everywhere is a great group name!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews"
"1551370210-20978","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","James H. Beauchamp","Nice unit","January 22, 2019","Easier to set up that the Echo Dot, and recognizes smart devices more easily than my Echo Dot (1st gen.) or Echo Show (again, 1st gen.)  I got this to replace a Bose radio, which has superior sound (but is about 10 years old). Doesn't quite compare with the sound quality of my Apple HomePod, but is certainly adequate, and it is reasonably priced (compared with the HomePod or comparable Bose speaker; Google assistants are all right, but I don't like their music, when compared with Apple and Amazon).
The HomePod has better voice recognition, but the Echo Plus is better in this category than my other Echo products.
Good work, Amazon, you are on the right trail!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1551370542-22228","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","krissi Stelzer","love it","January 20, 2019","it is like a little assistant!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_171?ie=UTF8&pageNumber=171&reviewerType=all_reviews"
"1551370647-22623","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","So convenient","January 4, 2019","Received as Christmas present. Still experimenting with all the features and loving it","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_220?ie=UTF8&pageNumber=220&reviewerType=all_reviews"
"1551370612-22496","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Chris H.","easy set up and intergration","December 8, 2018","easy set up and intergration","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_204?ie=UTF8&pageNumber=204&reviewerType=all_reviews"
"1551370578-22368","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","sandra brown","Loud grate beats","February 7, 2019","I love ❤️ everything a bout  it sounds grate 💕 I love 💗 ti","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_188?ie=UTF8&pageNumber=188&reviewerType=all_reviews"
"1551370301-21326","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","J Calhoun","Returned...","January 17, 2019","Would not connect to our wifi network. It only wanted to set up it's own new wifi network. After setting up it's own network it could not find an internet connection. We were excited to get our Echo Plus and we were equally disappointed that it would not function. Also, foreign customer service did not have the capacity or training to help and understand our issue. They did however know how to complete the return process","1.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&pageNumber=58&reviewerType=all_reviews"
"1551370325-21414","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","TexLonghorn","Love voice control","January 15, 2019","The Echo Plus is in the middle of a large room and Alexa does not have any issues hearing voice commands. I purchased this to go along with my Harmony remote and it's great to be able to use voice commands for my television.  I've also purchased several plugs and can control my lamps with voice control or using the app.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1551370510-22110","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Robin L. Morton","echo+","December 13, 2018","Same as original with remote controls for future use","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_156?ie=UTF8&pageNumber=156&reviewerType=all_reviews"
"1551370295-21303","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Nicole Graf","Love it!","December 1, 2018","This has been a great addition to our home. Walking in with full hands and dogs, tell Alexa to turn on the light with the Phillip's Hues that came with it,  and not tripping over my dogs! My kids can even add event schedules so they hit my phone! With 5 kids, I'm tickled!! LOL","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&reviewerType=all_reviews"
"1551370201-20951","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","These devices could be more international.. and streamline volume control across different sources","November 28, 2018","I am new to introducing Alexa to my home..

i like it but i think it could be a little more flexible..

I'm Australian, i sometimes sound slightly British from living there also.. i HAVE to have it set to USA English in order for all the functions (recognise my voice etc) to work, but then american Alexa doesn't always seem to know what i am saying.. i think it is short sighted that one would have to put on an american accent for some words to make it work at its best?!

The British and Australian Alexa voices are SO much better sounding too!! , but then the voice recognition would not work because my amazon account is based in the US where i live.. is there something i am not doing right?

I also asked Alexa how to spell a french word and it just didn't have the capacity to do this.. i tried rephrasing the question a few times - it ended up spelling 'FRENCH' bahahahahaha..

In todays world my feeling is AI should be less local and more international.. you've got a long way to go Alexa.. but i'm sure you'll get there! :-)

The other thing i noticed is the volume level across different music, news briefings and Alexa itself are all over the place!! Is there a way to set the sound levels like in MUSIC app on an iPhone that keeps everything at a consistent level?? That is a MUCH needed feature, Amazon... The sound on th eecho plus is GREAT though","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1551370587-22396","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Ernie Younkins","Great sounds","January 17, 2019","Very easy to download to get started. It was not so easy to pair another Echo . Directions were not complete to do this.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_192?ie=UTF8&pageNumber=192&reviewerType=all_reviews"
"1551370305-21344","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Pam","Love it","December 17, 2018","Great sound for such a small device.  Used it for music and remote access to lights.  So far so good.  Looking forward to learning more about it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&pageNumber=60&reviewerType=all_reviews"
"1551370499-22072","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","D. Anderson","Terrible speaker","February 1, 2019","Sound for music is so bad. Sure she turns my lights on and stuff, but seriously?","1.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Plus-Bundle-Philips/product-reviews/B07H1QBW2L/ref=cm_cr_arp_d_paging_btm_151?ie=UTF8&pageNumber=151&reviewerType=all_reviews"
